Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
10098,照片存放位置异常，文件夹可能不存在或权限不足，无法查看已上传图片。,Unable to view uploaded photos. Storage location error. Folder does not exist or insufficient permissions,Aufgrund eines Fehlers beim Speicherort können die hochgeladenen Bilder nicht angezeigt werden. Der Ordner existiert nicht oder unzureichende Berechtigungen für den Ordner,写真の保存場所に異常があります。フォルダが存在しないか、権限が不足しているため、アップロードされた画像を表示できません。,"Emplacement des photos incorrect : le dossier peut ne pas exister ou les autorisations sont insuffisantes, impossible de consulter les photos déjà téléversées.",No se pueden visualizar las fotos subidas. Error en la ubicación de almacenamiento. La carpeta no existe o no tiene permisos suficientes,"Erro no local de armazenamento das fotos, a pasta pode não existir ou ter permissões insuficientes, impossível visualizar as imagens carregadas",De geüploade foto's kunnen niet worden weergegeven. Fout in de opslaglocatie. De map bestaat niet of de toegangsrechten zijn onvoldoende,Impossibile visualizzare le foto caricate. Errore nella posizione di archiviazione. La cartella non esiste o i permessi sono insufficienti,사진 저장 위치가 비정상입니다. 폴더가 존재하지 않거나 권한이 부족하여 업로드한 사진을 볼 수 없습니다,照片存放位置異常，資料夾可能不存在或權限不足，無法檢視已上傳圖片。
10099,文件夹不存在或权限不足，请重新选择,Folder does not exist or insufficient permissions. Please select again,Ordner existiert nicht oder unzureichende Berechtigungen für den Ordner. Bitte erneut auswählen,フォルダが存在しないか、権限が不足しています。再選択してください,Le dossier n'existe pas ou les autorisations sont insuffisantes. Veuillez sélectionner à nouveau.,"La carpeta no existe o no tiene permisos suficientes. Por favor, seleccione de nuevo",A pasta não existe ou permissões insuficientes. Selecione novamente,De map bestaat niet of u hebt onvoldoende rechten. Selecteer opnieuw,"Cartella non trovata o autorizzazione negata, selezionare di nuovo",폴더가 없거나 권한이 부족합니다. 다시 선택해 주세요.,資料夾不存在或權限不足，請重新選擇
10100,图片不存在或权限不足,Photo does not exist or insufficient permissions,Bild existiert nicht oder unzureichende Berechtigungen für das Bild,画像が存在しないか、権限が不足しています。,La photo n'existe pas ou les autorisations sont insuffisantes.,La foto no existe o permisos insuficientes,Imagem não encontrada ou permissão insuficiente,De foto bestaat niet of u hebt onvoldoende rechten,La foto non esiste o i permessi sono insufficienti,사진이 존재하지 않거나 권한이 부족합니다,圖片不存在或權限不足
10102,该用户已是管理员，无需设置。,This user is already an admin. No need to set,"Dieser Benutzer ist bereits Administrator, daher sind keine weiteren Einstellungen erforderlich.",このユーザーは既に管理者のため、設定は不要です。,"Cet utilisateur est déjà administrateur, aucune configuration nécessaire.","Este usuario ya es administrador, por lo que no se requiere ninguna configuración",Este utilizador já é administrador. Não é necessário definir,"Deze gebruiker is al een beheerder, daarom is er geen verdere actie nodig.",Questo utente è già un amministratore. Non è necessario impostare nulla,이 사용자는 이미 관리자입니다. 설정할 필요가 없습니다.,該使用者已是管理員，無需設定。
10103,操作失败，至少需要一个分享对象,Failed to operate. Please select at least one recipient,Vorgang fehlgeschlagen. Es ist mindestens ein Freigabeempfänger erforderlich.,操作に失敗しました。少なくとも1つの共有対象が必要です。,Échec de l'opération. Veuillez sélectionner au moins un destinataire.,"No se pudo realizar la operación. Por favor, seleccione al menos un destinatario",Falha na operação. Selecione pelo menos um destinatário,De bewerking is mislukt. Selecteer ten minste één ontvanger,Operazione non riuscita. Selezionare almeno un destinatario,작업 실패했습니다. 하나 이상의 공유 대상이 필요합니다,操作失敗，至少需要一個分享物件
10104,添加失败，有下级文件夹正在移除,Failed to add. A subfolder is being removed,Hinzufügen fehlgeschlagen. Es werden zurzeit Unterordner entfernt.,サブフォルダーが削除中のため、追加できません。,Échec de l'ajout : un sous-dossier est en cours de suppression,Error al añadir. Se está eliminando una subcarpeta,Falha ao adicionar. Uma subpasta está a ser removida,Toevoegen mislukt. Er worden sub mappen verwijderd.,Impossibile aggiungere. Una sottocartella è in fase di rimozione,하위 폴더가 제거 중이라 추가에 실패했습니다,新增失敗，有下級資料夾正在移除
10105,当前文件夹数量已达上限: %v,The number of folders reached the limit: %v,Die maximale Anzahl an Ordnern wurde erreicht: %v,フォルダ数が上限に達しています: %v,Le nombre de dossiers a atteint la limite : %v,El número de carpetas ha alcanzado el límite: %v,O número de pastas atingiu o limite: %v,Het aantal mappen heeft de limiet bereikt: %v,Numero massimo di cartelle raggiunto: %v,현재 폴더 수가 최대한도에 도달했습니다: %v,目前資料夾數量已達上限: %v
10106,存在不支持的文件夹,Unsupported folders found,Nicht unterstützte Ordner vorhanden,サポートされていないフォルダが存在します,Dossiers non pris en charge détectés,Carpetas incompatibles encontradas,Pastas não suportadas encontradas,Er zijn mappen gevonden die niet worden ondersteund,Cartelle non supportate trovate,지원되지 않는 폴더가 존재합니다,存在不支援的資料夾
10112,切换失败，请前往应用中心下载NVIDIA工具包,"Failed to switch. Please go to ""App Center"" to download ""NVIDIA Toolkit""",Umschalten fehlgeschlagen. Bitte laden Sie das NVIDIA-Toolkit im „App Center“ herunter.,切替に失敗しました。「アプリセンター」からNVIDIAツールキットをダウンロードしてください。,"Échec du basculement. Veuillez vous rendre dans le ""Centre d'applications"" pour télécharger la ""Boîte à outils NVIDIA"".","Error al cambiar. Por favor, vaya al ""Centro de Apps"" para descargar el ""kit de herramientas de NVIDIA""","Falha ao mudar. Aceda ao ""Centro de Apps"" para descarregar ""NVIDIA Toolkit""",Het overschakelen is mislukt. Ga naar “App Center” om “NVIDIA Toolkit” te downloaden,Impossibile effettuare il passaggio. Accedere all' “App Center”  per scaricare “NVIDIA Toolkit”,전환에 실패했습니다. 앱 센터에서 NVIDIA 툴킷을 다운로드해 주세요.,切換失敗，請前往應用程式中心下載NVIDIA工具包
10114,创建失败,Failed to create,Erstellen fehlgeschlagen,作成に失敗しました,Échec de la création,Creación fallida,Falha na criação,Maken mislukt,Creazione fallita,생성 실패,建立失敗
10115,不支持的格式类型,Unsupported format,Nicht unterstütztes Format,サポートされていない形式です,Type de format non pris en charge,Formato no compatible,Formato não suportado,Niet ondersteund formaat,Formato non supportato,지원되지 않는 형식,不支援的格式類型
10116,资源不存在,Resource does not exist,Ressource nicht gefunden,リソースが存在しません,La ressource n'existe pas,El recurso no existe,O recurso não existe,Bron bestaat niet,La risorsa non esiste,리소스가 존재하지 않습니다,資源不存在
10117,未知错误,Unknown error,Unbekannter Fehler,不明なエラー,Erreur inconnue,Error desconocido,Erro desconhecido,Onbekende fout,Errore sconosciuto,알 수 없는 오류,未知錯誤
10118,目标路径错误,Target path error,Fehlerhafter Zielpfad,ターゲットパスがエラーです,Chemin de destination incorrect,Error en la ruta de destino,Erro no caminho do destino,Doel pad fout,Errore nel percorso di destinazione,대상 경로 오류,目標路徑錯誤
10119,目标路径权限不足,Insufficient target path permissions,Unzureichende Berechtigungen,保存先のパスに対する権限が不足しています,Autorisations insuffisantes sur le chemin cible,Permisos insuficientes de la ruta de destino,Permissões insuficientes para o caminho de destino,Onvoldoende rechten voor het doelpad,Autorizzazioni insufficienti per il percorso di destinazione,대상 경로 권한 부족,目標路徑權限不足
10120,目标路径冲突,Target path conflict,Zielpfadkonflikt,ターゲットパスが競合しています,Conflit de chemin de destination,Conflicto de ruta de destino,Conflito de caminho de destino,Conflict met doelpad,Conflitto nel percorso di destinazione,대상 경로 충돌,目標路徑衝突
10121,文件夹无效,Invalid folder,Ungültiger Ordner,無効なフォルダーです,Dossier invalide,Carpeta inválida,Pasta inválida,Ongeldige map,Cartella non valida,폴더가 유효하지 않음,資料夾無效
10122,文件夹不存在,The folder does not exist,Ordner nicht gefunden,フォルダーが存在しません,Le dossier n'existe pas,La carpeta no existe,A pasta não existe,Map bestaat niet,La cartella non esiste,폴더가 존재하지 않음,資料夾不存在
10123,文件夹已被移除（不在相册里）,Folder removed (Not in album),Ordner wurde entfernt (nicht in „Fotos“ vorhanden),フォルダは削除されました（アルバムにありません）,Le dossier a été supprimé (n'est plus dans l'album),Carpeta eliminada (no está en el álbum),Pasta removida (Não no álbum),Map verwijderd (niet in album),Cartella rimossa (Non presente nell'album),폴더는 제거되었습니다 (앨범에 존재하지 않음),資料夾已被移除（不在相簿裡）
10124,文件夹已被删除（不在NAS上）,Folder deleted (Not in NAS),Ordner wurde gelöscht (nicht auf dem NAS vorhanden),フォルダは削除されました（NASにありません）,Le dossier a été supprimé (n'est plus sur le NAS),Carpeta eliminada (no está en el NAS),Pasta eliminada (Não no NAS),Map verwijderd (niet op NAS),Cartella eliminata (non nel NAS),폴더는 삭제되었습니다 (NAS에 존재하지 않음),資料夾已被刪除（不在NAS上）
10125,暂无文件夹权限,No folder permissions,Keine Berechtigungen für den Ordner,フォルダ権限はありません,Aucune autorisation pour le dossier,Sin permisos de carpeta,Sem permissões de pasta,Geen maprechten,Nessun permesso per le cartelle,폴더 권한 없음,暫無資料夾權限
10126,文件夹正在操作中，请稍后重试,Folder operation in progress. Please try again later,Der Ordner wird gerade bearbeitet. Bitte später erneut versuchen,フォルダ操作中です。しばらくしてから再試行してください。,"Le dossier est en cours d'opération, veuillez réessayer plus tard.","Operación de la carpeta en curso. Por favor, inténtelo de nuevo más tarde",Operação de pasta em curso. Tente novamente mais tarde,De mapbewerking is bezig. Probeer het later nog eens.,Operazione cartella in corso. Riprova più tardi,폴더 작업이 진행 중입니다. 잠시 후 다시 시도해 주세요.,資料夾正在操作中，請稍後重試
10127,文件类型不支持,File type not supported,Nicht unterstützter Dateityp,ファイル形式はサポートされていません,Type de fichier non pris en charge,Tipo de archivo no compatible,Tipo de arquivo não suportado,Bestandstype wordt niet ondersteund,Tipo di file non supportato,지원되지 않는 형식,檔案類型不支援
10128,默认文件夹不能被移除,The default folder cannot be removed,Der Standardordner kann nicht entfernt werden,デフォルトフォルダーは削除できません,Le dossier par défaut ne peut pas être supprimé.,No se puede eliminar la carpeta predeterminada,A pasta predefinida não pode ser removida,De standaardmap kan niet worden verwijderd,La cartella predefinita non può essere rimossa,기본 폴더는 제거할 수 없습니다,預設資料夾不能被移除
10129,家目录不存在,"""Home"" directory does not exist",Home-Verzeichnis nicht gefunden,ホームディレクトリが存在しません,Le répertoire personnel n'existe pas,El directorio raíz no existe,"O diretório ""Home"" não existe",De homedirectory bestaat niet,La directory “Home” non esiste,'홈' 디렉토리가 존재하지 않습니다,「家」目錄不存在
10130,未设置默认文件夹,Default folder not set,Kein Standardordner festgelegt,デフォルトフォルダが設定されていません,Aucun dossier par défaut défini,Carpeta predeterminada no configurada,Pasta predefinida não definida,Geen standaardmap ingesteld,Cartella predefinita non impostata,기본 폴더 설정되지 않음,未設定預設資料夾
10131,"命名请勿以 ""."" ""～"" ""/""开头","Starting with ""."", ""~"", or ""/"" is not allowed","Der Name darf nicht mit „.“, „～“ oder „/“ beginnen",「.」「～」「/」で始まる名前は使用できません,"Le nom ne doit pas commencer par ""."", ""～"" ou ""/""","No se permite comenzar con ""."", ""~"" o ""/""","Não é permitido começar com ""."", ""~"" ou ""/""","De naam mag niet beginnen met “.”, “～” of “/”","Non è consentito iniziare con ""."", ""~"" o ""/""","이름은 '.', ' ～' 및 '/' 로 시작할 수 없습니다","命名請勿以 ""."" ""～"" ""/""開頭"
10132,超出数量上限,Exceeded the limit,Die maximale Anzahl wurde erreicht,上限数を超えました,Limite de quantité dépassée,Se ha superado el límite,Excede o limite,De limiet is overschreden,Supera il limite,수량 제한 초과,超出數量上限
10133,模型未启用,Model not enabled,Modell nicht aktiviert,モデルが有効になっていません,Modèle non activé,Modelo no habilitado,Modelo não ativado,Model niet ingeschakeld,Modello non abilitato,모델이 활성화되지 않았습니다,模型未啟用
10135,名称已存在,Name already exists,Der Name ist bereits vergeben,名前はすでに存在します,Le nom existe déjà,El nombre ya existe,O nome já existe,Naam bestaat al,Il nome esiste già,이름이 이미 존재합니다,名稱已存在
10136,相册权限不足,Insufficient album permissions,Unzureichende Berechtigungen für das Album,アルバムへのアクセス権限がありません,Autorisations insuffisantes pour l'album,Permisos del álbum insuficientes,Permissões de álbum insuficientes,Onvoldoende albumrechten,Autorizzazioni album insufficienti,앨범 권한 부족,相簿權限不足
10137,超出字符上限,Exceeded character limit,Die maximale Zeichenlänge wurde überschritten,文字数制限を超えました,Limite de caractères dépassée,Se ha superado el límite de caracteres,Limite de caracteres excedido,Het maximum aantal tekens is overschreden,Limite di caratteri superato,문자 제한 초과,超出字元上限
10138,缩略图生成中,Generating thumbnail,Miniaturansichten werden generiert,サムネイルを生成しています,Génération des miniatures en cours,Generando miniatura,A gerar miniatura,Miniatuur aanmaken,Generazione di miniature,썸네일 생성 중,縮圖生成中
10139,分享不存在,Shared content does not exist,Freigabe existiert nicht,共有コンテンツは存在しません,Le contenu partagé n'existe pas,El contenido compartido no existe,O conteúdo partilhado não existe,Gedeelde inhoud bestaat niet,Il contenuto condiviso non esiste,공유가 존재하지 않음,分享不存在
10140,您没有查看权限,No permission to view,Keine Berechtigung zum Anzeigen,閲覧権限がありません,Vous n'avez pas l'autorisation de consulter,Sin permiso para ver,Não tem permissão para ver,Geen toestemming om te bekijken,Non hai il permesso di visualizzare,보기 권한이 없습니다,您沒有檢視權限
10141,模型已停用,Model disabled,Modell deaktiviert,モデルは無効になっています,Le modèle a été désactivé.,Modelo deshabilitado,O modelo foi desativado,Model uitgeschakeld,Modello disabilitato,모델이 비활성화되었습니다,模型已停用
11001,无法对网络文件夹或虚拟设备操作,Operations on network folders or virtual devices are not supported,Aktionen auf Netzwerkordnern oder virtuellen Geräten werden nicht unterstützt,ネットワークフォルダまたは仮想デバイスは操作できません,Impossible d'effectuer des opérations sur les dossiers réseau ou les appareils virtuels,No se permite realizar operaciones en carpetas de red o dispositivos virtuales,Não são suportadas operações em pastas de rede ou dispositivos virtuais,Bewerkingen op netwerkmappen of virtuele apparaten worden niet ondersteund,Le operazioni su cartelle di rete o dispositivi virtuali non sono supportate,네트워크 폴더나 가상 장치에는 작업을 수행할 수 없습니다,無法對網路資料夾或虛擬裝置操作
11002,当前模型资源忙，请稍候,Model resources busy. Please wait,Modellressourcen ausgelastet. Bitte warten,モデルビジー。しばらくお待ちください。,"Les ressources du modèle sont actuellement occupées, veuillez patienter.","Recursos del modelo ocupados. Por favor, espere","Recursos do modelo atual estão ocupados, por favor aguarde.",De modelbronnen zijn bezet. Even geduld a.u.b.,Risorse modello occupate. Attendere prego,현재 모델 리소스가 바쁩니다. 잠시만 기다려 주세요.,目前模型資源忙，請稍候
11003,本次更新内容：\n1、识别准确率提升\n2、除简体中文、英文外，支持使用更多语言检索图片画面（包含简体中文、英语、德语、法语、西语、日语等）\n\n更新后，需重新识别图库才能正常使用模型。若图库文件较多，识别相对耗时。（此操作对所有用户生效）,"Updates:\n1. The recognition accuracy has been improved\n2. Image search now supports more languages. In addition to Simplified Chinese and English, it also includes German, French, Spanish, Japanese, and others\n\nAfter updating, the library needs to be re-recognized for models to function properly. It may take a while if the library contains a large number of files (Applicable to all users)","Updates: \n1. Die Erkennungsgenauigkeit wurde verbessert. \n2. Die Bildsuche in weiteren Sprachen wird unterstützt (einschließlich Vereinfachtes Chinesisch, Englisch, Deutsch, Französisch, Spanisch, Japanisch usw.). \n\nNach dem Update muss die Mediathek neu erkannt werden, damit das Modell ordnungsgemäß funktioniert. Wenn die Mediathek eine große Anzahl an Dateien enthält, kann die Erkennung einige Zeit in Anspruch nehmen. (Dies gilt für alle Benutzer)",今回の更新内容：\n1. 認識精度の向上\n2. 簡体字中国語、英語に加え、より多くの言語での画像検索に対応（簡体字中国語、英語、ドイツ語、フランス語、スペイン語、日本語など）\n\n更新後、モデルを正常に使用するには画像ライブラリの再認識が必要です。画像ライブラリのファイル数が多い場合、認識には比較的時間がかかります。（本操作はすべてのユーザーに適用されます）,"Contenu de cette mise à jour :\n1. Amélioration de la précision de reconnaissance\n2. En plus du chinois simplifié et de l'anglais, prise en charge de la recherche d'images dans davantage de langues (y compris le chinois simplifié, l'anglais, l'allemand, le français, l'espagnol, le japonais, etc.)\n\nAprès la mise à jour, il sera nécessaire de réindexer la photothèque pour utiliser correctement le modèle. Si la photothèque contient de nombreux fichiers, la reconnaissance peut prendre un certain temps. (Cette opération s'applique à tous les utilisateurs)","Actualizaciones:\n1. Se ha mejorado la precisión del reconocimiento.\n2. La búsqueda de imágenes ahora admite más idiomas. Además del chino simplificado y el inglés, también incluye alemán, francés, español, japonés, entre otros.\n\nDespués de la actualización, es necesario volver a reconocer la fototeca para que los modelos funcionen correctamente. Esto puede tardar un tiempo si la fototeca contiene una gran cantidad de archivos. (aplicable a todos los usuarios)","Atualizações:\n1. A precisão do reconhecimento foi aprimorada\n2. A pesquisa de imagens agora suporta mais idiomas. Além do chinês simplificado e do inglês, também inclui alemão, francês, espanhol, japonês e outros\n\nApós a atualização, as bibliotecas precisam ser reconhecidas novamente para que os modelos funcionem corretamente. Isso pode demorar um pouco se as bibliotecas contiverem um grande número de arquivos (aplicável a todos os usuários)","Updates:\n1. De herkenningsnauwkeurigheid is verbeterd.\n2. De beeldzoekfunctie ondersteunt nu meer talen. Naast Vereenvoudigd Chinees en Engels zijn dit onder andere Duits, Frans, Spaans en Japans.\n\nNa de update moet de mediatheek opnieuw worden herkend om de modellen correct te laten werken. Dit kan even duren als de mediatheek een groot aantal bestanden bevat (geldt voor alle gebruikers)","Aggiornamenti:\n1. La precisione di riconoscimento è stata migliorata\n2. La ricerca per immagini ora supporta più lingue. Oltre al cinese semplificato e all'inglese, include anche tedesco, francese, spagnolo, giapponese e altre\n\nDopo l'aggiornamento, sarà necessario procedere al nuovo riconoscimento delle librerie affinché i modelli funzionino correttamente. Potrebbe richiedere un po' di tempo se le librerie contengono un gran numero di file (Applicabile a tutti gli utenti)","업데이트 내용: \n1. 인식 정확도가 향상되었습니다\n2. 간체 중국어, 영어 이외에 더 많은 언어로 이미지 화면 검색이 가능하게 되었습니다(간체 중국어, 영어, 독일어, 프랑스어, 스페인어, 일본어 등 포함)\n\n업데이트 후, 모델이 제대로 작동하려면 라이브러리를 다시 인식해야 합니다. 라이브러리에 많은 파일이 있는 경우 시간이 좀 걸릴 수 있습니다 (모든 사용자에게 적용)",本次更新內容：\n1、識別準確率提升\n2、除簡體中文、英文外，支援使用更多語言檢索圖片畫面（包含簡體中文、英語、德語、法語、西語、日語等）\n\n更新後，需重新識別相簿才能正常使用模型。若相簿檔案較多，識別相對耗時。（此操作對所有使用者生效）
11004,本次更新将支持识别视频中的人物。为保证模型识别准确率，更新后，系统将对所有用户的照片进行重新识别并分类。,"This update enables face recognition in videos. To ensure accuracy, all user photos will be reanalyzed and categorized","Mit diesem Update wird die Gesichtserkennung in Videos ermöglicht. Um die Genauigkeit der Erkennung zu gewährleisten, werden nach dem Update die Bilder aller Benutzer neu analysiert und kategorisiert.",今回の更新では、ビデオ内の人物を認識する機能がサポートされます。認識精度を確保するため、更新後、システムはすべてのユーザーの写真を再認識し、分類します。,"Cette mise à jour permettra de reconnaître les personnes dans les vidéos. Afin d'assurer la précision du modèle, le système procédera après la mise à jour à une nouvelle reconnaissance et classification des photos de tous les utilisateurs.","Esta actualización habilita el reconocimiento facial en los videos. Para garantizar la precisión, todas las fotos de los usuarios serán reanalizadas y categorizadas","Esta atualização habilita o reconhecimento facial em vídeos. Para garantir precisão, todas as fotos dos usuários serão reanalisadas e categorizadas","Met deze update wordt gezichtsherkenning in video’s ingeschakeld. Om de nauwkeurigheid te waarborgen, worden alle foto’s van gebruikers opnieuw geanalyseerd en gecategoriseerd","Questo aggiornamento abilita il riconoscimento facciale nei video. Per garantire la precisione, tutte le foto degli utenti saranno rianalizzate e classificate",이번 업데이트로 동영상 내 인물 인식이 지원됩니다. 모델 인식 정확도를 위해 업데이트 후 시스템이 모든 사용자의 사진을 다시 인식하고 분류합니다.,本次更新將支援辨識影片中的人物。為保證模型辨識準確率，更新後，系統將對所有使用者的照片進行重新辨識並分類。
11005,本次更新整合多个模型，提升计算效率与识别准确率。更新后，系统将对所有用户的照片进行重新识别并分类。,"This update integrates multiple models to improve computational efficiency and recognition accuracy. After update, the system will re-recognize and categorize all users' photos","Mit diesem Update werden mehrere Modelle integriert, um die Berechnungseffizienz und Erkennungsgenauigkeit zu erhöhen. Nach dem Update erkennt und kategorisiert das System die Bilder aller Benutzer neu.",今回の更新では、複数のモデルを統合し、計算効率と認識精度を向上させました。更新後、システムはすべてのユーザーの写真を再認識し、再分類します。,"Cette mise à jour intègre plusieurs modèles afin d'améliorer l'efficacité de calcul et la précision de reconnaissance. Après la mise à jour, le système procédera à une nouvelle reconnaissance et classification des photos de tous les utilisateurs.","Esta actualización integra múltiples modelos para mejorar la eficiencia computacional y la precisión en el reconocimiento. Tras la actualización, el sistema volverá a reconocer y clasificar las fotos de todos los usuarios","Esta atualização integra múltiplos modelos para melhorar a eficiência computacional e a precisão de reconhecimento. Após a atualização, o sistema reidentificará e recategorizará todas as fotos dos usuários",Deze update integreert meerdere modellen om de rekenkracht en de herkenningsnauwkeurigheid te verbeteren. Na de update zal het systeem alle foto’s van gebruikers opnieuw herkennen en categoriseren,"Questo aggiornamento integra più modelli per migliorare l'efficienza computazionale e la precisione del riconoscimento. Dopo l'aggiornamento, il sistema riconoscerà nuovamente e classificherà tutte le foto degli utenti",이번 업데이트는 여러 모델을 통합하여 계산 효율성과 인식 정확도를 향상시킵니다. 업데이트 후 시스템은 모든 사용자의 사진을 다시 인식하고 분류합니다.,本次更新整合多個模型，提升計算效率與辨識準確率。更新後，系統將對所有使用者的照片進行重新辨識並分類。
12001,重新索引中，无法再次操作,Reindexing... Operation unavailable,Wird neu indiziert... Vorgang nicht möglich,再インデックスしているため、再操作できません。,"Réindexation en cours, impossibilité d'effectuer une autre opération.",Reindexando… Operación no disponible,A reindexar... Operação indisponível,Opnieuw indexeren... Bewerking niet beschikbaar,Reindicizzazione... Operazione non disponibile,인덱싱 중... 작업을 수행할 수 없습니다,重新索引中，無法再次操作
