Code,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
602706,不支持复制到当前录像文件夹，请选择其他位置,Copying to the current folder is not supported. Please reselect,Kopiëren naar deze map wordt niet ondersteund. Selecteer een andere map,Das Kopieren in diesen Ordner wird nicht unterstützt. Bitte wählen Sie einen anderen Ordner aus,"Não é possível copiar para a pasta atual. Por favor, volte a selecionar","No se admite copiar a la carpeta actual. Por favor, seleccione otra carpeta",La copia nella cartella corrente non è supportata. Seleziona nuovamente,La copie vers le dossier actuel n’est pas prise en charge. Veuillez sélectionner un autre emplacement.,現在のフォルダへのコピーはサポートされていません。他の場所を選択してください。,현재 녹화 폴더로 복사할 수 없습니다. 다른 위치를 선택해 주세요,不支援複製到目前錄影資料夾，請選擇其他位置
602707,复制任务数已达上限，请等待任务完成后再试,Copy task limit reached. Please wait for ongoing tasks to finish,Het maximale aantal kopieertaken is bereikt. Wacht tot de huidige taken zijn voltooid en probeer het daarna opnieuw,"Die maximale Anzahl an Kopieraufgaben wurde erreicht. Bitte warten Sie, bis die aktuellen Aufgaben abgeschlossen sind, und versuchen Sie es erneut",O limite de tarefas de cópia foi atingido. Aguarde até que as tarefas em curso sejam concluídas,"Se ha alcanzado el límite de tareas de copia. Por favor, espere a que finalicen las tareas en curso",È stato raggiunto il limite di operazioni di copia. Attendere il completamento delle operazioni in corso,Le nombre de tâches de copie a atteint la limite. Veuillez réessayer une fois les tâches en cours terminées.,タスクのコピー数が上限に達しています。タスク完了後に再試行してください。,복사 작업 수가 상한에 도달했습니다. 작업 완료 후 다시 시도해 주세요,複製任務數已達上限，請等待任務完成後再試
602708,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用,AI 中台暂不可用
602709,AI 模型未授权,AI model not enabled,AI-model is niet ingeschakeld,KI-Modell nicht autorisiert,Modelo de IA não autorizado,Modelo de IA no habilitado,Modello AI non abilitato,Modèle d’IA non autorisé,AIモデルが認証されていません,AI 모델이 승인되지 않았습니다,AI 模型未授權
602710,当前人物名称已存在,The name already exists,Die naam bestaat al,Der Name ist bereits vergeben,O nome já existe,El nombre ya existe,Il nome esiste già,Ce nom existe déjà.,現在のユーザー名は既に存在します。,현재 인물 이름이 이미 존재합니다,當前人物名稱已存在
602711,AI 检测任务数已达上限,AI detection task limit reached,Limiet voor AI-detectietaken bereikt,Anzahl der KI-Erkennungsaufgaben hat das Limit erreicht,O número de tarefas de deteção de IA atingiu o limite máximo,Límite de tareas de detección de IA alcanzado,Limite massimo di attività di rilevamento AI raggiunto,Le nombre de tâches de détection IA a atteint la limite.,AIによる検索回数が上限に達しました。,AI 감지 작업 수가 상한에 도달했습니다,AI 檢測任務數已達上限
602712,复制失败，所选文件夹权限不足,Failed to copy. Insufficient permissions for the selected folder,Kopiëren is mislukt. Onvoldoende rechten voor de geselecteerde map,Kopieren fehlgeschlagen. Unzureichende Berechtigungen für den ausgewählten Ordner,Falha ao copiar. Permissões insuficientes para a pasta selecionada,Error al copiar. Permisos insuficientes para la carpeta seleccionada,Copia fallita. Permessi insufficienti per la cartella selezionata.,Échec de la copie : autorisations insuffisantes sur le dossier sélectionné,コピーに失敗しました。選択したフォルダの権限が不足しています。,복사 실패 선택한 폴더에 대한 권한이 부족합니다,複製失敗，所選資料夾權限不足
602713,当前车牌已存在,The license plate already exists,Dat kenteken bestaat al,Dieses Kennzeichen ist bereits vergeben,A matrícula já existe,Esta matrícula ya existe,La targa esiste già,Cette plaque d’immatriculation existe déjà.,このナンバープレートはすでに存在します。,해당 차량 번호가 이미 존재합니다,該車牌號碼已存在
602714,当前地区不支持人脸相关功能,Face recognition features are not available in this region,Functies voor gezichtsherkenning zijn in deze regio niet beschikbaar,Die Gesichtserkennungsfunktion ist in dieser Region nicht verfügbar,As funcionalidades de reconhecimento facial não estão disponíveis nesta região,Las funciones de reconocimiento facial no están disponibles en esta región,Le funzioni di riconoscimento facciale non sono disponibili in questa regione,Les fonctionnalités de reconnaissance faciale ne sont pas disponibles dans la région actuelle.,現在の地域では顔認識がサポートされていません。,현재 지역에서는 얼굴 관련 기능을 지원하지 않습니다,此地區不支援人臉辨識相關功能
602715,标记人脸数量已达上限,Tagged face limit reached,De limiet voor het aantal gemarkeerde gezichten is bereikt,Die maximale Anzahl markierter Gesichter wurde erreicht,Atingido o limite de faces marcadas,Se ha alcanzado el límite de rostros etiquetados,Raggiunto il limite massimo,Le nombre de visages marqués a atteint la limite.,タグ付け済み顔数が上限に達しました。,얼굴 태그 수가 상한에 도달했습니다,標記人臉數量已達上限
602716,标记车牌数量已达上限,Tagged license plate limit reached,De limiet voor het aantal gemarkeerde kentekens is bereikt,Die maximale Anzahl markierter Kennzeichen wurde erreicht,Limite de matrículas marcadas atingido,Se ha alcanzado el límite de matrículas etiquetadas,Raggiunto il limite di targhe contrassegnate,Le nombre de plaques d’immatriculation marquées a atteint la limite.,ナンバープレートタグの数が上限に達しています。,차량 번호 태그 수가 상한에 도달했습니다,標記車牌數量已達上限
602717,ONVIF事件不可用，无法开启AI检测,Failed to enable AI detection. ONVIF events not available,AI-detectie kan niet worden ingeschakeld. ONVIF-gebeurtenissen zijn niet beschikbaar,Die KI-Erkennung konnte nicht aktiviert werden. ONVIF-Ereignisse sind nicht verfügbar,Não foi possível ativar a deteção por IA. Eventos ONVIF indisponíveis,No se ha podido activar la detección por IA. Los eventos ONVIF no están disponibles,Impossibile abilitare il rilevamento tramite IA. Eventi ONVIF non disponibili,"Événements ONVIF non disponibles, impossible d’activer la détection IA",AI検知を有効化できませんでした。ONVIFイベントが利用できません。,"AI 감지 활성화 실패, ONVIF 이벤트 사용 불가",ONVIF事件不可用，無法開啟AI檢測
602718,事件不存在,Event does not exist,De gebeurtenis bestaat niet,Das Ereignis existiert nicht,O evento não existe,El evento no existe,L'evento non esiste,L’événement n’existe pas.,イベントが存在しない,이벤트가 존재하지 않습니다,事件不存在
