Key,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
device_status_offline_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 已断开连接,{{showname}} ({{model}}) channel {{cameraindex}} disconnected,De verbinding met de lens {{cameraindex}} van {{showname}} ({{model}}) is verbroken.,Das Objektiv {{cameraindex}} von {{showname}} ({{model}}) wurde getrennt.,{{showname}} ({{model}}) canal {{cameraindex}} desligado,Cámara {{cameraindex}} de {{showname}} ({{model}}) desconectada,{{showname}} ({{model}}) canale {{cameraindex}} disconnesso,Caméra {{cameraindex}} de {{showname}} ({{model}}) déconnectée,{{showname}}（{{model}}）チャンネル{{cameraindex}}の接続が切断されました,{{showname}} ({{model}}) 채널 {{cameraindex}} 연결이 끊어졌습니다,{{showname}} （{{model}}）鏡頭{{cameraindex}} 已斷開連線
device_status_offline_notify_multi_cameras_no_model,{{showname}} 镜头{{cameraindex}} 已断开连接,{{showname}} channel {{cameraindex}} disconnected,De verbinding met de lens {{cameraindex}} van {{showname}} is verbroken.,Das Objektiv {{cameraindex}} von {{showname}} wurde getrennt.,{{showname}} canal {{cameraindex}} desligado,Cámara {{cameraindex}} de {{showname}} desconectada,Canale {{showname}} {{cameraindex}} disconnesso,Caméra {{cameraindex}} de {{showname}} déconnectée,{{showname}}（{{model}}）チャンネル{{cameraindex}}の接続が切断されました,{{showname}} 채널{{cameraindex}}연결이 끊어졌습니다,{{showname}} 鏡頭{{cameraindex}} 已斷開連線
record_storage_failed_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} ({{model}}) channel {{cameraindex}} storage error. Please check whether the volume, storage path, and permissions are abnormal","De lens {{cameraindex}} van {{showname}} ({{model}}) heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Speicherfehler beim Objektiv {{cameraindex}} von {{showname}} ({{model}}). Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.","{{showname}} ({{model}}) canal {{cameraindex}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","Error de almacenamiento en la cámara {{cameraindex}} de {{showname}} ({{model}}). Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","{{showname}} ({{model}}) canale {{cameraindex}} errore di archiviazione. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","La caméra {{cameraindex}} de {{showname}} ({{model}}) présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.",{{showname}}（{{model}}）チャンネル{{cameraindex}}ストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} ({{model}})채널 {{cameraindex}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} （{{model}}）鏡頭{{cameraindex}} 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
record_storage_failed_notify_no_model_multi_cameras,{{showname}} 镜头{{cameraindex}}存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} channel {{cameraindex}} storage error. Please check whether the volume, storage path, and permissions are abnormal","De lens {{cameraindex}} van {{showname}} heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Speicherfehler beim Objektiv {{cameraindex}} von {{showname}}. Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.","{{showname}} canal {{cameraindex}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","Error de almacenamiento de la cámara {{cameraindex}} de {{showname}}. Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","Errore di archiviazione del canale {{showname}} {{cameraindex}}. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","La caméra {{cameraindex}} de {{showname}} présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.",{{showname}}チャンネル{{cameraindex}}ストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} 채널 {{cameraindex}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} 鏡頭{{cameraindex}}儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
device_status_online_notify_single_cameras,{{showname}} （{{model}}） 已建立连接,{{showname}} ({{model}}) connected,{{showname}} ({{model}}) is verbonden.,{{showname}} ({{model}}) wurde verbunden.,{{showname}} ({{model}}) ligado,{{showname}} ({{model}}) conectado,{{showname}} ({{model}}) connesso,{{showname}} ({{model}}) connecté,{{showname}} （{{model}}）が接続しました,{{showname}} ({{model}})연결이 완료되었습니다,{{showname}} （{{model}}） 已建立連線
device_status_online_notify_single_cameras_no_model,{{showname}}  已建立连接,{{showname}} connected,{{showname}} is verbonden.,{{showname}} wurde verbunden.,{{showname}} ligado,{{showname}} conectado,{{showname}} connesso,{{showname}} connecté,{{showname}}が接続しました,{{showname}}연결이 완료되었습니다,{{showname}}  已建立連線
device_status_offline_notify_single_cameras,{{showname}} （{{model}}） 已断开连接,{{showname}} ({{model}}) disconnected,De verbinding met {{showname}} ({{model}}) is verbroken.,{{showname}} ({{model}}) wurde getrennt.,{{showname}} ({{model}}) desligado,{{showname}} ({{model}}) desconectado,{{showname}} ({{model}}) scollegato,{{showname}} ({{model}}) déconnecté,{{showname}} （{{model}}）は接続が切断されました,{{showname}} ({{model}})연결이 끊어졌습니다,{{showname}} （{{model}}） 已斷開連線
device_status_offline_notify_single_cameras_no_model,{{showname}}  已断开连接,{{showname}} disconnected,De verbinding met {{showname}} is verbroken.,{{showname}} wurde getrennt.,{{showname}} desligado,{{showname}} desconectado,{{showname}} disconnesso,{{showname}} déconnecté,{{showname}}は接続が切断されました。,{{showname}}연결이 끊어졌습니다,{{showname}}  已斷開連線
record_storage_failed_notify_single_camera,{{showname}} （{{model}}） 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} ({{model}}) storage error. Please check whether the volume, storage path, and permissions are abnormal","{{showname}} ({{model}}) heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Speicherfehler bei {{showname}} ({{model}}). Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.","{{showname}} ({{model}}) erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","Error de almacenamiento de {{showname}} ({{model}}). Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","Errore di archiviazione {{showname}} ({{model}}). Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} ({{model}}) présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.",{{showname}}（{{model}}）はストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} ({{model}}) 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} （{{model}}） 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
record_storage_failed_notify_no_model_single_camera,{{showname}} 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} storage error. Please check whether the volume, storage path, and permissions are abnormal","{{showname}} heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Speicherfehler bei {{showname}}. Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.","{{showname}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","Error de almacenamiento de {{showname}}. Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","Errore di archiviazione {{showname}}. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.",{{showname}}はストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
user_guide_content_add_device,点击此处添加摄像头,Click here to add camera,Klik hier om een camera toe te voegen,"Klicken Sie hier, um eine Kamera hinzuzufügen",Clique aqui para adicionar uma câmara,Haz clic aquí para añadir cámara,Clicca qui per aggiungere una fotocamera,Cliquez ici pour ajouter une caméra,ここをクリックしてカメラを追加する,여기를 클릭하여 카메라 추가,點選此處新增攝影機
user_guide_content_view_record_file,点此可查看录像文件,Click here to view video files,Klik hier om videobestanden te bekijken,"Klicken Sie hier, um die Videoaufnahmen anzusehen",Clique aqui para ver os ficheiros de vídeo,Haz clic aquí para ver archivos de vídeo,Clicca qui per visualizzare i file video,Cliquez ici pour voir les fichiers vidéo,ここをクリックして動画ファイルを見る,여기를 클릭하여 비디오 파일 보기,點此查看錄影檔案
user_guide_content_enable_ai_detect,可在此为摄像头开启AI检测能力,Enable AI detection for cameras here,Schakel hier AI-detectie voor camera’s in,Hier können Sie die KI-Erkennung für Kameras aktivieren.,Ative aqui a deteção por IA para as câmaras,Habilitar la detección de IA para las cámaras aquí,Abilita qui il rilevamento tramite IA per le telecamere,Activer la détection IA pour les caméras ici,ここからカメラのAI検出機能を有効にできます。,여기에서 카메라에 AI 감지 기능을 활성화할 수 있습니다,可在此為攝影機開啟AI檢測能力
user_guide_button_next_step,下一步,Next,Volgende,Weiter,Próximo,Siguiente,Avanti,Suivant,次へ,다음,下一步
user_guide_content_ai_capability_guidance,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力,录像本地AI检测能力已上线，您可在此为摄像头开启AI检测能力
user_guide_title_prompt,提示,Tips,Tip,Hinweis,Dicas,Aviso,Avvisi,Notification,提示,힌트,提示
user_guide_content_first_enable_local_ai_task,启用该功能会导致设备处理器和内存占用过高，可能会影响其他应用运行。,"Enabling this feature may cause high processor and memory usage, potentially affecting the performance of other apps","Als u deze functie inschakelt, kan dit leiden tot een hoog processor- en geheugengebruik, wat de prestaties van andere apps kan beïnvloeden","Wenn diese Funktion aktiviert ist, kann die Auslastung von Prozessor und Arbeitsspeicher des Geräts zu hoch werden, wodurch der Betrieb anderer Apps beeinträchtigt wird.","A ativação desta funcionalidade pode causar um elevado consumo de processador e memória, o que poderá afetar o desempenho de outras aplicações","Habilitar esta función puede provocar el alto uso del procesador y de la memoria, lo que podría afectar al rendimiento de otras aplicaciones","L'attivazione di questa funzione potrebbe comportare un elevato utilizzo della CPU e della memoria, con possibili ripercussioni sulle prestazioni delle altre app","L’activation de cette fonction peut entraîner une forte utilisation du processeur et de la mémoire de l’appareil, ce qui risque d’affecter le fonctionnement des autres applications.",この機能を有効化すると、プロセッサおよびメモリの使用率が高くなり、他のアプリのパフォーマンスに影響を及ぼす可能性があります。,이 기능을 사용하면 장치 프로세서와 메모리 사용량이 과도하게 증가하여 다른 애플리케이션의 실행에 영향을 줄 수 있습니다.,啟用該功能會導致裝置處理器和記憶體占用過高，可能會影響其他應用程式執行。
user_guide_button_still_enable,仍然开启,Enable,Inschakelen,Aktivieren,Ativar,Habilitar,Abilita,Activer,有効にする,켜져 있음,仍然開啟
user_guide_button_cancel,取消,Cancel,Annuleren,Abbrechen,Cancelar,Cancelar,Annulla,Annuler,キャンセル,취소,取消
user_guide_button_finish,好的,OK,OK,OK,OK,OK,OK,OK,OK,확인  ,OK
user_guide_button_got_it,我知道了,OK,OK,OK,OK,OK,OK,OK,OK,알겠습니다.,我知道了
sub_ug_topic_enter,目标进入画面,Target entered the frame,Doel kwam in beeld,Objekt betritt das Bild,O alvo entrou no enquadramento,El objetivo entró en el encuadre,Target è entrato nell'inquadratura,Entrée d’une cible dans le champ de vision,対象が映像内に進入しました,화면으로 들어가기,目標進入畫面中
sub_ug_topic_moving,目标在画面内移动,Target moving within frame,Doel beweegt binnen het beeld,Objekt bewegt sich im Bild,Alvo em movimento dentro do enquadramento,El objetivo se está moviendo dentro del encuadre,Obiettivo in movimento all'interno dell'inquadratura,Déplacement d’une cible dans le champ de vision,対象が映像内を移動しています,화면 내에서 이동하도록 설정합니다,目標在畫面內移動
sub_ug_topic_exit,目标离开画面,Target left the frame,Doel verlaat beeld,Objekt verlässt das Bild,O alvo saiu do enquadramento,El objetivo ha salido del encuadre,Il bersaglio è uscito dall'inquadratura,Sortie d’une cible du champ de vision,対象が映像内から退出しました,화면을 벗어나기 위해 목표를 설정합니다,目標離開畫面
vehicle_category_two_wheeler,两轮车,Two-wheeler,Tweewieler,Zweirad,Veículo de duas rodas,Vehículo de dos ruedas,Veicolo a due ruote,Deux-roues,二輪車,이차륜차,兩輪車
vehicle_category_car,汽车,Car,Auto,Auto,Carro,Coche,Auto,Voiture,車,자동차,汽車
person_demographic_elderly,老人,Elderly,Ouderen,Ältere Person,Idosos,Personas mayores,Anziani,Senior,高齢者,노인,老人
person_demographic_child,儿童,Child,Child,Child,Child,Child,Child,Child,児童,어린이,兒童
person_demographic_middle_age,中年人,Middle-aged person,Persoon van middelbare leeftijd,Mittelalte Person,Pessoa de meia-idade,Persona de mediana edad,Persona di mezza età,Personne d’âge moyen,中年の人,중년인,中年人
person_demographic_takeaway,外卖员,Delivery person,Bezorger,Zusteller:in,Entregador,Repartidor/a,Corriere,Livreur de repas,配達員,배달원,外賣員
person_demographic_courier,快递员,Courier,Koerier,Zusteller:in,Serviço de entregas,Mensajero/a,Corriere,Livreur de colis,配達員,배달원,快遞員
person_identity_stranger,陌生人,Stranger,Vreemdeling,Fremde Person,Estranho,Desconocido/a,Uno sconosciuto,Inconnu,見知らぬ人,낯선 사람,陌生人
person_identity_known,认识的人,Familiar person,Bekend persoon,Bekannte Person,Pessoa conhecida,Persona conocida,Persona nota,Connu,知人,친구,認識的人
ai_event_notify_with_sub,%s（%s）： %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s（%s）： %s - %s,%s(%s): %s - %s,%s（%s）： %s - %s
ai_event_notify_multi_cameras_with_sub,{{showname}}（{{model}}）镜头{{cameraindex}}： {{event}} - {{sub}},{{showname}} ({{model}}) channel {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) kanaal {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) Objektiv {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) canal {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) cámara {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) canale {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) caméra {{cameraindex}}: {{event}} - {{sub}},{{showname}}（{{model}}）チャンネル{{cameraindex}}： {{event}} - {{sub}},{{showname}} ({{model}}) 채널{{cameraindex}}: {{event}} - {{sub}},{{showname}}（{{model}}）鏡頭{{cameraindex}}： {{event}} - {{sub}}
ai_event_notify_smart,%s（%s）： %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s（%s）： %s,%s(%s): %s,%s（%s）： %s
ai_event_notify_multi_cameras_smart,{{showname}}（{{model}}）镜头{{cameraindex}}： {{smarttext}},{{showname}} ({{model}}) channel {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) lens {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) Objektiv {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) canal {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) cámara {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) canale {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) caméra {{cameraindex}}: {{smarttext}},{{showname}}（{{model}}）チャンネル{{cameraindex}}： {{smarttext}},{{showname}} ({{model}}) 채널{{cameraindex}}: {{smarttext}},{{showname}}（{{model}}）鏡頭{{cameraindex}}： {{smarttext}}
bizdict_tag_intrusion_zone,区域入侵,Region intrusion,Inbreuk op het gebied,Eindringen,Invasão da região,Intrusión en la región,Intrusione nella regione,Intrusion dans une zone,エリア侵入,지역 침입,區域入侵
bizdict_tag_adult,成年人,Adult,Volwassenen,Erwachsene,Adulto,Adulto/a,Adulti,Adulte,成年,성인,成年人
bizdict_tag_male_person,男士,Male,Man,Mann,Masculino,Hombre,Maschio,Homme,男性,남성,男士
bizdict_tag_female_person,女士,Female,Vrouw,Frau,Mulher,Mujer,Donna,Femme,女性,여자,女士
bizdict_tag_non_motor_vehicle,非机动车,Non-motor vehicle,Niet-motorvoertuig,Nicht-Kraftfahrzeug,Veículo não motorizado,Vehículo no motorizado,Veicolo non a motore,Véhicule non motorisé,軽車両,비자동차,非機動車
bizdict_tag_abnormal_behavior,异常行为,Abnormal behavior,Abnormaal gedrag,Ungewöhnliches Verhalten,Comportamento anormal,Comportamiento anómalo,Comportamento anomalo,Comportement anormal,異常動作,비정상적인 행동,異常行為
bizdict_vocab_suv,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
bizdict_vocab_human_body,人体,Human body,Menselijk lichaam,Menschlicher Körper,Corpo humano,Cuerpo humano,Il corpo umano,Corps humain,人体,인체,人體
bizdict_vocab_human_form,人形,Human form,Menselijke ,Gestalt,Forma humana,Forma humana,Forma umana,Silhouette humaine,人間,인형,人形
bizdict_vocab_intrusion_word,入侵,Intrusion,Inbraak,Eindringen,Intrusão,Intrusión,Intrusione,Intrusion,侵入,침입,入侵
bizdict_vocab_water_entry,入水,Water entry,In het water vallen,Ins Wasser fallen,Entrada de água,Entrada de agua,Ingresso dell'acqua,Chute dans l’eau,水没検知,수영 시작,入水
bizdict_vocab_package_lost,包裹丢失,Package loss,Pakket verloren,Paketverlust,Perda de encomendas,Pérdida de paquete,Smarrimento del pacco,Colis perdu,荷物の紛失,배송품 분실,包裹丟失
bizdict_vocab_woman_noun,女人,Woman,Vrouw,Frau,Mulher,Mujer,Donna,Femme,女性,여자,女人
bizdict_vocab_animal_general,动物,Animal,Dier,Tier,Animais,Animal,Animale,Animaux,動物,동물,動物
bizdict_vocab_express_parcel,快递,Package,Pakket,Paket,Embalagem,Paquete,Confezione,Colis,パッケージ,배송,快遞
bizdict_vocab_loitering,徘徊,Loitering,Rondhangen,Herumlaufen,Vadiagem,Merodeo,Vagabondaggio,Flânerie,滞留検知,배회,徘徊
bizdict_vocab_fall_down,摔倒,Fall,Vallen,Sturz,Outono,Caída,Autunno,Chute,転倒検知​,넘어지기,摔倒
bizdict_vocab_elderly_alt,老年人,Elderly person,Ouderen,Ältere Person,Pessoa idosa,Persona mayor,Anziano,Personne âgée,高齢者,노인,老年人
bizdict_vocab_man_noun,男人,Man,Man,Mann,Homem,Hombre,Uomo,Homme,男,남자,男人
bizdict_vocab_span_over,跨越,Step over,Stap eroverheen,Übersteigen,Passe por cima,Pasar por encima,Fai un passo,Franchissement,跨ぎ越え,뛰어넘기,跨越
bizdict_vocab_water_immersion_fall,落水,Falling into water,In het water vallen,Ins Wasser fallen,Cair à água,Caída al agua,Cadere in acqua,Chute dans l’eau,水に落ちる,물에 빠져들기,落水
bizdict_vocab_enter,进入,Enter,Toegang,Betreten,Entrar,Entrar,Inserisci,Entrer,入る,들어가기,進入
bizdict_vocab_leave,离开,Leave,Verlaten,Verlassen,Sair,Salir,Partenza,Quitter,終了,나가기,離開
bizdict_vocab_climbing_over,翻越,Climb over,Overheen klimmen,Überklettern,Passe por cima,Escalar por encima,Scavalca,Franchissement,乗り越え,넘기기,翻越
bizdict_vocab_cat,猫,Cat,Kat,Katze,Gato,Gato,Gatto,Chat,猫,고양이,貓
bizdict_vocab_dog,狗,Dog,Hond,Hund,Cão,Perro,Cane,Chien,犬,강아지,狗
bizdict_vocab_hairless,无毛,Hairless,Haarloos,Haarlos,Sem cabelo,Sin pelo,Senza peli,Sans poils,無毛,모발 없음,無毛
bizdict_vocab_color_black,黑色,Black,Zwart,Schwarz,Preto,Negro,Nero,Noir,黒,검은색,黑色
bizdict_vocab_color_white,白色,White,Wit,Weiß,Branco,Blanco,Bianco,Blanc,白,흰색,白色
bizdict_vocab_color_brown,棕色,Brown,Bruin,Braun,Castanho,Marrón,Marrone,Marron,茶色,棕色,棕色
bizdict_vocab_color_orange,橙色,Orange,Oranje,Orange,Laranja,Naranja,Arancione,Orange,オレンジ,오렌지색,橙色
bizdict_vocab_color_gray,灰色,Grey,Grijs,Grau,Cinza,Gris,Grigio,Gris,灰色,회색,灰色
bizdict_vocab_color_mottled,花色,Multi-color,Meerkleurig,Mehrfarbig,Multicolorido,Multicolor,Multicolore,Multicolore,マルチカラー,꽃무늬,花色
bizdict_vocab_coat_tabby,虎斑,Tabby,Tabby,Tabby,Tabby,Atigrado,Tabby,Tabby,トラ模様,호랑이무늬,虎斑
bizdict_vocab_color_yellow,黄色,Yellow,Geel,Gelb,Amarelo,Amarillo,Giallo,Jaune,黄色,노란색,黃色
bizdict_vocab_pickup_truck,皮卡,Pickup truck,Pick-up,Pickup,Caminhonete,Camioneta pickup,Furgone,Pick-up,ピックアップトラック,피카,皮卡
bizdict_vocab_bicycle_cn,自行车,Bicycle,Fiets,Fahrrad,Bicicletas,Bicicleta,Bicicletta,Vélo,自転車,자전거,腳踏車
bizdict_vocab_e_scooter_cn,电瓶车,Electric bicycle,Elektrische fiets,Elektrofahrrad,Bicicleta elétrica,Bicicleta eléctrica,Bicicletta elettrica,Scooter électrique,電動自転車,전기 자전거,電瓶車
bizdict_vocab_vehicle_noun_car,车,Car,Auto,Wagen,Carro,Coche,Auto,Vélo,車,차,車
bizdict_vocab_fall_detection,跌倒,Fall,Vallen,Sturz,Outono,Caída,Autunno,Chute,転倒,넘어짐,跌倒
bizdict_vocab_sedan_car,轿车,Sedan,Sedan,Personenkraftwagen,Sedan,Sedán,Berlina,Voiture,セダン,승용차,轎車
app_description,监控中心是一款面向绿联NAS用户打造的视频监控管理应用，支持接入摄像头，提供实时画面预览、录像管理、事件录制与消息通知等能力。通过监控中心，用户可以将家庭、店铺、办公室等场景的监控数据安全保存在本地NAS设备中，方便随时查看实时画面与历史录像，构建更加安全、可靠的本地化监控管理方案。,"Surveillance Center is a video recording management app designed for UGREEN NAS users. It supports camera connection and provides capabilities such as live view, video management, event-triggered recording, and notifications. With this app, users can securely store footage from their homes, stores, offices, and other scenarios on NAS devices, making it easier to access live feeds and historical recordings anytime — delivering a safer, more reliable local surveillance management solution","Surveillance is een app voor het beheer van video-opnames, speciaal ontwikkeld voor gebruikers van UGREEN NAS-apparaten. De app ondersteunt het aansluiten van camera’s en biedt functies zoals liveweergave, videobeheer, op gebeurtenissen gebaseerde opnames en meldingen. Met deze app kunnen gebruikers beelden van hun woning, winkel, kantoor en andere locaties veilig opslaan op NAS-apparaten, waardoor ze op elk moment eenvoudig toegang hebben tot livebeelden en eerdere opnames — voor een veiligere en betrouwbaardere oplossing voor lokaal bewakingsbeheer","„Überwachung“ wurde speziell für Nutzer von UGREEN NAS entwickelt und dient der Verwaltung von Videoaufzeichnungen. Die App unterstützt die Verbindung von Kameras und bietet Funktionen wie Live-Ansicht, Videoverwaltung, ereignisgesteuerte Aufzeichnung und Benachrichtigungen. Mit dieser App können Nutzer Aufzeichnungen aus ihrem Zuhause, ihren Geschäften, Büros und anderen Umgebungen sicher auf NAS-Geräten speichern. Dadurch wird der Zugriff auf Live-Bilder und historische Aufzeichnungen jederzeit vereinfacht – für eine sicherere und zuverlässigere Lösung zur lokalen Überwachungsverwaltung.","O Surveillance Center é uma aplicação de gestão de gravações de vídeo concebida para utilizadores de NAS da UGREEN. Suporta a ligação de câmaras e oferece funcionalidades como visualização em direto, gestão de vídeos, gravação acionada por eventos e notificações. Com esta aplicação, os utilizadores podem armazenar com segurança as imagens das suas casas, lojas, escritórios e outros locais em dispositivos NAS, facilitando o acesso a imagens em direto e a gravações antigas a qualquer momento — proporcionando uma solução de gestão de vigilância local mais segura e fiável","Centro de Vigilancia es una aplicación de gestión de grabación de vídeo diseñada para usuarios de UGREEN NAS. Permite la conexión de cámaras y ofrece funciones como visualización en directo, gestión de vídeo, grabación activada por eventos y notificaciones. Con esta aplicación, los usuarios pueden almacenar de forma segura las grabaciones de sus hogares, tiendas, oficinas y otros entornos en dispositivos NAS, facilitando el acceso a las transmisiones en directo y a las grabaciones históricas en cualquier momento, y ofreciendo una solución de gestión de videovigilancia local más segura y fiable","Sorveglianza è un'app per la gestione delle registrazioni video pensata per gli utenti dei dispositivi NAS UGREEN. Supporta il collegamento delle telecamere e offre funzionalità quali la visualizzazione in diretta, la gestione dei video, la registrazione in base agli eventi e le notifiche. Grazie a questa app, gli utenti possono archiviare in modo sicuro le riprese provenienti dalle loro abitazioni, dai negozi, dagli uffici e da altri contesti sui dispositivi NAS, facilitando l'accesso alle immagini in diretta e alle registrazioni storiche in qualsiasi momento, per una soluzione di gestione della videosorveglianza locale più sicura e affidabile","Le Centre de surveillance est une application de gestion de vidéosurveillance conçue pour les utilisateurs des NAS UGREEN. Elle permet d’intégrer des caméras et propose des fonctionnalités telles que la prévisualisation en temps réel, la gestion des enregistrements, l’enregistrement des événements et les notifications. Grâce au Centre de surveillance, les utilisateurs peuvent stocker en toute sécurité les données de surveillance de leur domicile, boutique ou bureau sur leur NAS local, et accéder facilement aux flux en direct ainsi qu’aux enregistrements historiques, afin de disposer d’une solution de surveillance locale plus sûre et plus fiable.",「監視センター」は、UGREEN NASユーザー向けに設計されたビデオ監視管理アプリです。カメラの接続に対応し、ライブビュー、録画管理、イベント録画、通知機能などのインテリジェントな機能を提供します。本アプリを使用することで、自宅、店舗、オフィスなどの監視データをローカルのNASデバイスに安全に保存でき、いつでもライブ映像や過去の録画へ簡単にアクセスできるようになるため、より安全で信頼性の高いローカル監視管理ソリューションを構築できます。,모니터링 센터는 UGREEN NAS 사용자를 위해 설계된 비디오 녹화 관리 앱입니다. 카메라 연결을 지원하며 실시간 보기 비디오 관리 이벤트 트리거 녹화 및 알림 등의 기능을 제공합니다. 이 앱을 통해 사용자는 가정 상점 사무실 등 다양한 장소의 영상을 NAS 장치에 안전하게 저장하여 실시간 화면과 과거 녹화물을 언제든지 편리하게 확인할 수 있습니다. 더 안전하고 신뢰할 수 있는 로컬 영상 감시 관리 솔루션을 제공합니다.,監控中心是一款專為UGREEN NAS使用者設計的錄影管理應用程式。 它支援攝影機連線，並提供即時畫面、影片管理、事件觸發錄影及通知等功能。 透過此應用程式，使用者可以將家中、商店、辦公室及其他場景的影像安全儲存在 NAS 裝置上，方便隨時隨地都能輕鬆存取即時畫面和歷史錄影——提供更安全、更可靠的本地監控管理解決方案。
