Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
"[""netdisk_connect_deleted""]",网盘连接已被删除,Netdisk connection has been deleted,Netdisk-Verbindung wurde gelöscht,クラウドドライブ接続が削除されました,La connexion Netdisk a été supprimée,Se ha eliminado la conexión Netdisk,A ligação Netdisk foi excluída,Netdisk-verbinding is verwijderd,La connessione Netdisk è stata eliminata,클라우드 드라이브 연결이 삭제되었습니다.,網盤連接已被刪除
"[""internal_server_error"", ""status = 500 Internal Server Error"", ""NotFound.UploadId"", ""HTTP error 50"", ""stream error""]",第三方网盘服务错误,Third-party netdisk error,Fehler beim Netdisk-Dienst von Drittanbietern,サードパーティクラウドドライブサービスエラー,Erreur de netdisk tiers,Error de Netdisk de terceros,Erro de netdisk de terceiros,Fout met de Netdisk-service van derden,Errore di netdisk di terze parti,타사 클라우드 드라이브 서비스 오류,第三方網盤服務錯誤
"[""network_err"", ""network_error"", ""network is unreachable"", ""Callback deny this request reason: Auth limit: open auth rsp exception"", ""read: connection refused"", ""connection reset by peer"", ""use of closed network connection""]",网络错误,Network error,Netzwerkfehler,ネットワークエラー,Erreur réseau,Error de red,Erro de rede,Netwerkfout,Errore di rete,네트워크 오류,網絡錯誤
"[""file_upload_failed"", ""IncompleteUpload""]",设备文件上传到网盘失败,Failed to upload NAS files to Netdisk,Hochladen von NAS-Dateien auf Netdisk fehlgeschlagen,NASファイルをネットワークディスクにアップロードできません,Échec du téléversement des fichiers NAS vers Netdisk,Error al subir archivos NAS en Netdisk,Falha ao carregar ficheiros NAS para o Netdisk,Het uploaden van NAS-bestanden naar Netdisk is mislukt,Non è riuscito a caricare i file NAS su Netdisk,장치 파일을 클라우드 드라이브로 업로드 실패,設備文件上傳到網盤失敗
"[""file_download_failed""]",网盘文件下载到设备失败,Failed to download Netdisk files to NAS,Herunterladen von Netdisk-Dateien auf NAS fehlgeschlagen,クラウドドライブからデバイスへのファイルダウンロードに失敗しました,Échec du téléchargement des fichiers Netdisk sur le NAS,Error al descargar archivos Netdisk al NAS,Falha ao transferir ficheiros Netdisk para o NAS,Downloaden van Netdisk-bestanden naar NAS mislukt,Download dei file Netdisk su NAS fallito,클라우드 드라이브 파일을 장치로 다운로드 실패,網盤文件下載到設備失敗
"[""net_disk_path_not_exist"", ""NotFound.File"", ""quark_FileDirId_NotFound"", ""itemNotFound""]",网盘路径不存在,Netdisk path not found,Netdisk-Pfad existiert nicht,クラウドドライブパスが存在しません,Chemin Netdisk non trouvé,Ruta de Netdisk no encontrada,Caminho do Netdisk não encontrado,Netdisk-pad bestaat niet,Percorso Netdisk non trovato,클라우드 드라이브 경로가 존재하지 않습니다.,網盤路徑不存在
"[""net_disk_file_not_exist"", ""path/not_found/""]",网盘文件不存在,Netdisk file not found,Netdisk-Dateien nicht gefunden,クラウドドライブファイルが存在しません,Fichier Netdisk introuvable,Archivo Netdisk no encontrado,Ficheiro Netdisk não encontrado,Netdisk-bestanden niet gevonden,File Netdisk non trovato,클라우드 드라이브 파일이 존재하지 않습니다.,網盤文件不存在
"[""nas_path_not_exist""]",NAS路径不存在,NAS path not found,NAS-Pfad existiert nicht,NASパスが存在しません,Chemin du NAS non trouvé,No se ha encontrado la ruta del NAS,Caminho do NAS não encontrado,NAS-pad bestaat niet,Percorso NAS non trovato,NAS 경로가 존재하지 않습니다.,NAS路徑不存在
"[""nas_file_not_exist"", ""Code: ForbiddenFileInTheRecycleBin""]",NAS文件不存在,NAS file not found,NAS-Datei nicht gefunden,NASファイルが存在しません,Fichier NAS introuvable,Archivo NAS no encontrado,Ficheiro NAS não encontrado,NAS-bestand niet gevonden,File NAS non trovato,NAS 파일이 존재하지 않습니다.,NAS文件不存在
"[""temp_file_not_exist""]",临时文件丢失，请重试,Temporary file lost. Please try again,"Temporäre Datei verloren, bitte versuchen Sie es erneut",一時ファイルが失われました。再試行してください,Fichier temporaire perdu. Veuillez réessayer,Archivo temporal perdido. Vuelva a intentarlo,"Ficheiro temporário perdido. Por favor, tente novamente","Tijdelijk bestand verloren, probeer opnieuw",File temporaneo perso. Riprova,임시 파일이 손실되었습니다. 다시 시도해 주세요.,臨時文件丟失，請重試
"[""nas_cannot_read""]",NAS路径无读权限,Read denied on the NAS path,Keine Leseberechtigung für NAS-Pfad,NASパスの読み取り権限がありません,Lecture refusée sur le chemin NAS,Lectura denegada en la ruta NAS,Leitura negada no caminho do NAS,Geen leesbevoegdheid voor NAS-pad,Lettura negata sul percorso NAS,NAS 경로에 읽기 권한이 없습니다.,NAS路徑無讀權限
"[""nas_cannot_write""]",NAS路径无写权限,Write denied on the NAS path,Keine Schreibberechtigung für NAS-Pfad,NASパスの書き込み権限がありません,Écriture refusée sur le chemin NAS,Escritura denegada en la ruta NAS,Escrita negada no caminho NAS,Geen schrijfrechten voor NAS-pad,Scrittura negata sul percorso NAS,NAS 경로에 쓰기 권한이 없습니다.,NAS路徑無寫權限
"[""nas_quota_not_enough"", ""disk quota exceeded""]",NAS存储空间不足,Insufficient volume capacity,Unzureichende Volumenkapazität,NASのボリュームが不足しています,Capacité de volume insuffisante,Capacidad de volumen insuficiente,Capacidade de volume insuficiente,Onvoldoende volumecapaciteit,Spazio di archiviazione NAS insufficiente,볼륨 용량이 부족합니다,NAS儲存空間不足
"[""throttled_request""]",第三方网盘请求异常（可能是网盘目录层级深导致）,"Third-party netdisk request error, probably due to deep directory hierarchy",Drittanbieter-Netdisk-Anfragesfehler (Möglicherweise aufgrund einer zu tiefen Verzeichnisstruktur.),サードパーティクラウドドライブのリクエスト異常（ディレクトリ階層が深い可能性あり）,"Erreur de requête netdisk d'un tiers, probablement due à une hiérarchie de répertoires trop profonde","Error de solicitud de Netdisk de terceros, probablemente debido a una jerarquía de directorios profunda.","Erro de pedido de netdisk de terceiros, provavelmente devido a uma hierarquia de diretórios profunda",Third-party netdisk request error (Mogelijk door een te diepe mappenstructuur).,"Errore di richiesta di netdisk di terze parti, probabilmente dovuto a una gerarchia di directory profonda",타사 클라우드 드라이브 요청 오류(클라우드 드라이브 디렉토리 계층이 너무 깊어서 발생할 수 있습니다.),第三方網盤請求異常（可能是網盤目錄層級深導致）
"[""service_not_available"", ""<Code>ServiceUnavailable"", ""serviceNotAvailable"", ""Service Unavailable""]",第三方网盘服务不可用,Third-party netdisk unavailable,Drittanbieter-Netdisk-Dienst nicht verfügbar,サードパーティクラウドドライブサービスが利用できません,Le netdisk d'un tiers n'est pas disponible,Netdisk de terceros no disponible,Netdisk de terceiros indisponível,Netdisk-service van derden niet beschikbaar,Netdisk di terze parti non disponibile,타사 클라우드 드라이브 서비스가 사용할 수 없습니다.,第三方網盤服務不可用
"[""task_cancelled""]",任务被取消,Task cancelled,Aufgabe abgebrochen,タスクがキャンセルされました,Tâche annulée,Tarea cancelada,Tarefa cancelada,Taak geannuleerd,Attività annullata,작업이 취소되었습니다.,任務被取消
"[""file_verify_failed""]",文件校验异常，请重试,"File verification error, please try again","Dateiprüfungsfehler, bitte versuchen Sie es erneut",ファイル検証エラー、再試行してください,"Erreur de vérification du fichier, veuillez réessayer","Error de verificación del archivo, inténtelo de nuevo","Erro na verificação do ficheiro, tente novamente","Fout bij bestandscontrole, probeer het opnieuw","Errore di verifica del file, riprova",파일 무결성 검사 오류입니다. 다시 시도해 주세요.,文件校驗異常，請重試
"[""file_being_modified""]",文件正在修改，请重试,Modifying file... Please try again.,Datei wird geändert... Bitte versuchen Sie es erneut,ファイルが編集中です。再試行してください,Modification du fichier... Veuillez réessayer.,"Modificando archivo... Por favor, inténtelo de nuevo.","Modificando ficheiro... Por favor, tente novamente.",Bestand wordt gewijzigd... Probeer het opnieuw,Modifica file in corso... Riprova.,파일이 수정 중입니다. 다시 시도해 주세요.,文件正在修改，請重試
"[""file_name_too_long"", ""file name too long"", ""path is too long""]",文件名过长，请修改后重试,"File name too long, please change and try again","Dateiname zu lang, bitte versuchen Sie es erneut nach der Änderung",ファイル名が長すぎます。修正して再試行してください,"Le nom du fichier est trop long, veuillez le modifier et réessayer.","Nombre de archivo demasiado largo, por favor, cámbielo e inténtelo de nuevo","Nome do ficheiro demasiado longo, altere-o e tente novamente","Bestandsnaam te lang, probeer het opnieuw na de wijziging","Nome file troppo lungo, cambialo e riprova",파일명이 너무 깁니다. 수정 후 다시 시도해 주세요.,文件名過長，請修改後重試
"[""invalid_file_name"", ""invalid characters""]",非法文件名，请修改后重试,"Invalid file name, please change and try again","Ungültiger Dateiname, bitte ändern und erneut versuchen",無効なファイル名です。修正して再試行してください,"Nom de fichier invalide, veuillez le modifier et réessayer.","Nombre de archivo no válido, por favor, cámbielo e inténtelo de nuevo.","Nome de ficheiro inválido, altere-o e tente novamente","Ongeldige bestandsnaam, wijzig deze en probeer opnieuw","Nome file non valido, cambialo e riprova",잘못된 파일명입니다. 수정 후 다시 시도해 주세요.,非法文件名，請修改後重試
"[""file_limit_4g""]",普通用户上传文件大小限制4G,"For standard users, the upload file size limit is 4 GB",Standardbenutzer dürfen Dateien mit einer Größe von maximal 4 GB hochladen,一般ユーザーのアップロードファイルのサイズ制限は4GBです。,"Pour les utilisateurs standards, la taille des fichiers téléversés est limitée à 4 GB.","Para los usuarios comunes, el tamaño máximo de archivo para subir es de 4 GB","Para os utilizadores padrão, o limite de tamanho dos ficheiros a carregar é de 4 GB",Voor standaardgebruikers geldt een maximale bestandsgrootte van 4 GB,"Per gli utenti abituali, il limite di dimensione dei file caricati è di 4 GB.",일반 사용자의 업로드 파일 크기 제한은 4G입니다,普通使用者上傳檔案大小限制4G
"[""file_limit_300g""]",超级会员上传文件大小限制300G,"For SVIP members, the upload file size limit is 300 GB",Für Super-Mitglieder liegt die Upload-Größenbegrenzung bei 300 GB,プレミアム会員のアップロードファイルサイズ制限は300GB,"Pour les membres du SVIP, la taille maximale des fichiers téléchargés est de 300 Go.","Para los miembros de SVIP, el límite de tamaño de los archivos es de 300 GB.","Para os membros do SVIP, o limite de tamanho dos ficheiros a carregar é de 300 GB",Voor Superleden is de uploadlimiet 300 GB.,"Per i membri SVIP, il limite di dimensione dei file caricati è di 300 GB.",슈퍼 회원의 업로드 파일 크기 제한: 300G,超級會員上傳檔案大小限制300G
"[""file_limit_2t""]",NAS会员上传文件大小限制2T,"For NAS members, the upload file size limit is 2 TB",Für NAS-Mitglieder liegt die Upload-Größenbegrenzung bei 2 TB,NAS会員のアップロードファイルサイズ制限は2TB,"Pour les membres du NAS, la taille maximale des fichiers est de 2 To","Para los miembros de NAS, el límite de tamaño de los archivos es de 2 TB.","Para os membros do NAS, o limite de tamanho dos ficheiros carregados é de 2 TB",Voor NAS-leden is de uploadlimiet 2 TB.,"Per i membri NAS, il limite di dimensione dei file caricati è di 2 TB.",NAS 회원의 업로드 파일 크기 제한: 2T,NAS會員上傳檔案大小限制2T
"[""net_disk_path_existed""]",网盘路径已存在,Netdisk path is existed,Netdisk-Pfad existiert bereits.,ネットディスクパスが既に存在する,Le chemin d'accès au disque réseau existe,La ruta de Netdisk existe,O caminho do netdisk existe,Het Netdisk-pad bestaat al.,Il percorso Netdisk esiste già,클라우드 드라이브 경로가 이미 존재합니다.,網盤路徑已存在
"[""folder_ends_with_dot""]",文件夹名不能以 . 结尾,Folder name cannot end with '.',Ordnername darf nicht mit „.“ enden,フォルダ名は「.」で終わらせることはできません,"Le nom du dossier ne peut pas se terminer par \"".\""","El nombre de la carpeta no puede terminar en \“.\""",O nome da pasta não pode terminar com '.',"De mapnaam mag niet eindigen op ""."".",Il nome della cartella non può terminare con '.,폴더 이름은 '.'으로 끝날 수 없습니다.,資料夾名不能以 . 結尾
"[""auth_error""]",账号验证已过期或被撤销，请检查连接,The account verification has expired or been revoked. Please check the connection.,Die Kontoauthentifizierung ist abgelaufen oder wurde widerrufen. Bitte überprüfen Sie die Verbindung,アカウントの認証が期限切れまたは取り消されました。接続を確認してください。,La vérification du compte a expiré ou a été révoquée. Veuillez vérifier la connexion.,"La verificación de la cuenta ha caducado o ha sido revocada. Por favor, compruebe la conexión.","A verificação da conta expirou ou foi revogada. Por favor, verifique a conexão.",De accountverificatie is verlopen of ingetrokken. Controleer de verbinding.,La verifica dell'account è scaduta o è stata revocata. Controlla la connessione.,계정 인증이 만료되었거나 해제되었습니다. 연결을 확인해 주세요.,帳號驗證已過期或被撤銷，請檢查連線
"[""database is locked""]",数据库繁忙,Database is busy,Datenbank ist beschäftigt,データベースが忙しい,Base de données occupée,La base de datos está ocupada,Base de dados ocupada,De database is bezet,Database occupato,데이터베이스가 사용 중입니다.,數據庫繁忙
"[""baidu_hit_anti_hotlink""]",第三方网盘返回错误：命中防盗链，查看自己请求是否合理，User-Agent请求头是否正常,"Error returned from the third-party netdisk: Triggered anti-leech protection, check if your request is reasonable and the User-Agent request header is normal.","Fehler von der Drittanbieter-Netdisk zurückgegeben: Anti-Hotlinking erkannt. Überprüfen Sie, ob Ihre Anfrage gültig ist, und ob der User-Agent-Anfrageheader normal ist",サードパーティのネットディスクからのエラー：ホットリンク保護がトリガーされました。リクエストが正しいか、User-Agentリクエストヘッダーが正常か確認してください。,Erreur renvoyée par le disque réseau tiers : Protection anti-aspiration déclenchée. Vérifiez si votre requête est raisonnable et si l'en-tête de requête User-Agent est normal.,"Error devuelto por el Netdisk de terceros: Activada la protección contra hotliking, compruebe si su petición es razonable y la cabecera de petición User-Agent es normal.","Erro retornado pelo netdisk de terceiros: Proteção contra download automático ativada, verifique se o seu pedido é razoável e se o cabeçalho User-Agent está normal.","Fout geretourneerd door de externe netdisk: Anti leech beveiliging geactiveerd, controleer of uw verzoek redelijk is en of de header van de gebruikers agent aanvraag normaal is.","Errore restituito dal Netdisk di terze parti: Attivata protezione anti-leech, verifica se la tua richiesta è valida e se l'intestazione della richiesta User-Agent è normale.","타사 클라우드 드라이브 오류: 방화벽에 걸림. 요청이 정상인지, User-Agent 헤더가 올바른지 확인해 주세요.",第三方網盤返回錯誤：命中防盜鏈，查看自己請求是否合理，User-Agent請求頭是否正常
"[""onedrive_upload_session_not_found"", ""InvalidSessionKey""]",第三方网盘返回错误：上传会话不存在，请重试,"Error returned from the third-party netdisk: Upload session not found, please retry.",Fehler von der Drittanbieter-Netdisk zurückgegeben: Upload-Sitzung nicht gefunden. Bitte erneut versuchen.,サードパーティのネットディスクからのエラー：アップロードセッションが存在しません。再試行してください。,"Erreur renvoyée par le disque réseau tiers : La session de téléversement n'existe pas, veuillez réessayer.","Error devuelto por el Netdisk de terceros: Sesión de subida no encontrada, por favor reinténtelo.","Erro retornado pelo netdisk de terceiros: Sessão de upload não encontrada, por favor, tente novamente.","Fout geretourneerd door de externe netdisk: Upload sessie niet gevonden, probeer het opnieuw.","Errore restituito dal Netdisk di terze parti: Sessione di caricamento non trovata, riprova.",타사 클라우드 드라이브 오류: 업로드 세션이 존재하지 않습니다. 다시 시도해 주세요.,第三方網盤返回錯誤：上傳會話不存在，請重試
"[""onedrive_unauthenticated""]",第三方网盘返回错误：未验证，请重试,Error from the third-party netdisk: Unauthenticated. Please retry.,Fehler vom Drittanbieter-Netdisk zurückgegeben: Unbestätigt. Bitte erneut versuchen.,サードパーティのクラウドストレージがエラーを返しました：未認証です。再試行してください。,"Erreur renvoyée par le disque réseau tiers : Non authentifié, veuillez réessayer.",Error del Netdisk de terceros: No autenticado. Vuelva a intentarlo.,"Erro do netdisk de terceiros: Não autenticado. Por favor, tente novamente.",Fout van de externe netdisk: Niet geverifieerd. Probeer het opnieuw.,Errore dal Netdisk di terze parti: Non autenticato. Riprova.,타사 클라우드 드라이브 오류: 인증되지 않았습니다. 다시 시도해 주세요.,第三方網盤返回錯誤：未驗證，請重試
"[""context deadline exceeded""]",处理超时,Processing timed out,Zeitüberschreitung bei der Verarbeitung,処理がタイムアウトしました,Le traitement a expiré.,Tiempo de procesamiento agotado,Processamento expirado,Verwerking is verlopen,Timeout del processo,처리 시간이 초과되었습니다.,處理超時
"[""baidu_101015"", ""baidu_err_101015""]",第三方网盘返回错误：临时文件丢失，请重试,"Error returned from the third-party netdisk: Temporary file lost, please retry.",Fehler vom Drittanbieter-Netdisk zurückgegeben: Temporäre Datei verloren. Bitte erneut versuchen.,サードパーティのネットディスクからのエラー：一時ファイルが失われました。再試行してください。,"Erreur renvoyée par le disque réseau tiers : Fichier temporaire perdu, veuillez réessayer.","Error devuelto por el Netdisk de terceros: Archivo temporal perdido, por favor reinténtelo.","Erro retornado pelo netdisk de terceiros: Ficheiro temporário perdido, por favor, tente novamente.","Fout geretourneerd door de externe netdisk: Tijdelijk bestand verloren, probeer het opnieuw.","Errore restituito dal Netdisk di terze parti: File temporaneo perso, riprova.",타사 클라우드 드라이브 오류: 임시 파일이 손실되었습니다. 다시 시도해 주세요.,第三方網盤返回錯誤：臨時文件丟失，請重試
"[""baidu_18101"", ""baidu_err_18101"", ""http2: server sent GOAWAY and closed the connection"", ""tianyi_unknown_error""]",第三方网盘服务异常，请重试,"Third-party cloud drive service error, please retry.","Fehler beim Cloud-Drive-Dienst eines Drittanbieters, bitte versuchen Sie es erneut.",サードパーティネットディスクのサービスに異常があります。再試行してください。,"Erreur du service de netdisk tiers, veuillez réessayer","Error del servicio de unidad en la nube de terceros, vuelva a intentarlo.","Erro no servi?o de cloud drive?de terceiros, tente novamente.","Fout met cloud drive service van derden, probeer het opnieuw.","Errore del servizio di disco online di terze parti, si prega di riprovare","타사 클라우드 드라이브 서비스 오류, 다시 시도해 주세요.",第三方網盤服務異常，請重試
"[""baidu_101003"", ""baidu_err_101003""]",第三方网盘返回错误：磁盘空间已满或无权限写入,Third-party cloud drive error: disk full or no write permission,Fehler bei Drittanbieter-Cloud-Drive: Speicherplatz voll oder keine Schreibberechtigung,サードパーティのクラウドストレージからのエラー：ディスク容量が不足しているか、書き込み権限がありません。,Erreur de cloud drive tiers : Espace disque plein ou permissions d'écriture insuffisantes.,Error de cloud drive de terceros: disco lleno o sin permisos de escritura.,Erro de unidade cloud de terceiros: disco cheio ou sem permissão de escrita,Fout met cloud drive van derden: schijf vol of geen schrijf rechten,Errore del disco cloud di terze parti: disco pieno o senza permesso di scrittura,타사 클라우드 드라이브 오류: 디스크가 가득 찼거나 쓰기 권한이 없습니다,第三方網盤返回錯誤：磁盤空間已滿或無權限寫入
"[""baidu_err_100003""]",第三方网盘返回错误：打开文件失败，请排查文件是否有权限访问或者被其他进程占用导致无法访问,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,Third-party cloud drive error: Failed to open the file. Please check whether the file has permission to access or is occupied by other processes.,"타사 클라우드 드라이브 오류: 파일 열기 실패, 파일 접근 권한이 있거나 다른 프로세스에서 점유 중인지 확인하세요",第三方網盤返回錯誤：打開文件失敗，請排查文件是否有權限訪問或者被其他進程佔用導致無法訪問
"[""baidu_err_100014""]",第三方网盘返回错误：重命名失败，请检查文件名,"Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","Third-party cloud drive error: Rename failed, please check the file name","타사 클라우드 드라이브 오류: 이름 변경 실패, 파일명을 확인하세요",第三方雲端硬碟返回錯誤：重新命名失敗，請檢查檔案名
"[""aliyun_err_parent_dir_not_found""]",阿里云盘的上传/同步目录不存在，请检查和确认之后再重新操作,"The upload/sync directory for Aliyun Drive does not exist, please check and confirm before retrying.","Das Upload-/Synchronisierungsverzeichnis für Aliyun Drive existiert nicht, bitte überprüfen Sie dies und versuchen Sie es erneut.",Aliドライブのアップロード／同期ディレクトリが存在しません。確認のうえ、再度操作してください。,Le répertoire de téléversement/synchronisation pour Aliyun Drive n'existe pas. Veuillez vérifier et confirmer avant de réessayer.,El directorio de carga/sincronización de Aliyun Drive no existe. Verifique y confirme antes de volver a intentarlo.,"O diretório de upload/sincronização do Aliyun Drive não existe, verifique e confirme antes de tentar novamente.","De upload-/synchronisatiemap voor Aliyun Drive bestaat niet, controleer dit en probeer het opnieuw.","La directory di caricamento/sincronizzazione per Aliyun Drive non esiste, controlla e conferma prima di riprovare.",알리윤 드라이브의 업로드/동기화 디렉토리가 존재하지 않습니다. 확인 후 다시 시도하세요,阿里雲盤的上傳/同步目錄不存在，請檢查和確認之後再重新操作
"[""google_drive_err_file_not_found""]",GoogleDrive的上传/同步目录不存在，请检查和确认之后再重新操作,"The upload/sync directory for Google Drive does not exist, please check and confirm before retrying","Das Upload-/Synchronisierungsverzeichnis für Google Drive existiert nicht, bitte überprüfen Sie dies und versuchen Sie es erneut.",Googleドライブのアップロード／同期ディレクトリが存在しません。確認のうえ、再度操作してください。,Le répertoire de téléversement/synchronisation pour Google Drive n'existe pas. Veuillez vérifier et confirmer avant de réessayer.,El directorio de carga/sincronización de Google Drive no existe. Verifique y confirme antes de volver a intentarlo.,"O diretório de upload/sincronização do Google Drive não existe, verifique e confirme antes de tentar novamente.","De upload-/synchronisatiemap voor Google Drive bestaat niet, controleer dit en probeer het opnieuw.","La directory di caricamento/sincronizzazione per Google Drive non esiste, controlla e conferma prima di riprovare.",구글 드라이브의 업로드/동기화 디렉토리가 존재하지 않습니다. 확인 후 다시 시도하세요,GoogleDrive的上傳/同步目錄不存在，請檢查和確認之後再重新操作
"[""cloud_drive_err_file_not_found""]",第三方网盘的文件/目录不存在,The file/directory for Cloud Drive does not exist.,Das Datei/das Verzeichnis für Cloud Drive existiert nicht.,Cloudドライブのファイル/ディレクトリは存在しません。,Les fichiers / répertoires pour Cloud Drive n'existe pas.,El archivo / catálogo de Cloud Drive no existe.,O arquivo/diretório do Cloud Drive não existe.,Het bestand/de map van Cloud Drive bestaat niet.,La file/directory per Cloud Drive non esiste.,클라우드 드라이브의 파일/디렉토리가 존재하지 않습니다.,第三方網盤的文件/目錄不存在
"[""err_file_name_contains_special_characters""]","文件名不能包含下列任何字符：\:<>|*?,/%","File names cannot contain any of following characters: \:<>|*?,/%","Der Dateiname darf keines der folgenden Zeichen enthalten: \:<>|*?,/%","ファイル名に次の文字を含めないでください：\:<>|*?,/%","Les noms de fichiers ne peuvent pas contenir les caractères suivants : \:<>|*?,/%","no admite la subida de archivos con nombres que contengan caracteres especiales, incluidos: \:<>|*?,/%","Nomes de ficheiro não podem conter: \:<>|*?,/%","De bestandsnaam mag geen van de volgende tekens bevatten: \:<>|*?,/%","i nomi dei file non possono contenere i seguenti caratteri: \:<>|*?,/%","파일명에 다음 문자들을 포함할 수 없습니다: :<>|\*?,/%","檔案名稱不能包含下列任何字元：\:<>|*?,/%"
"[""src_file_read_failed"", ""failed to open source object"", ""can't read status of source file""]",源文件读取失败，请重试,"Failed to read source file, please retry.",Abrufen der Quelldateien fehlgeschlagen. Bitte überprüfen.,ソースファイルの読み取りに失敗しました。再試行してください。,"Échec de la lecture du fichier source, veuillez réessayer.","No se ha podido leer el archivo de origen, inténtelo de nuevo.","Falha ao ler o ficheiro de origem, por favor, tente novamente.","Bronbestand kan niet worden gelezen, probeer het opnieuw.","Lettura del file sorgente fallita, riprova.","원본 파일 읽기 실패, 다시 시도해 주세요.",源文件讀取失敗，請重試
"[""dst_file_write_failed""]",目标文件写入失败，请重试,"Failed to write target file, please retry.",Schreiben der Zieldateien fehlgeschlagen. Bitte überprüfen.,ターゲットファイルの書き込みに失敗しました。再試行してください。,"Échec de l'écriture du fichier cible, veuillez réessayer.","Error al escribir el archivo de destino, vuelva a intentarlo.","Falha ao gravar o ficheiro de destino, por favor, tente novamente.","Doelbestand kan niet worden geschreven, probeer het opnieuw.","Scrittura del file di destinazione fallita, riprova.","대상 파일 쓰기 실패, 다시 시도해 주세요.",目標文件寫入失敗，請重試
"[""export_log_header""]",时间 | 级别 | 操作者 | 日志内容,Time|Level|User|Log,Zeit|Stufe|Benutzer|Protokoll,時間|レベル|操作者|ログ内容,Heure|Niveau|Utilisateur|Journal,Hora|Nivel|Usuario|Registro,Hora|Nível|Utilizador|Conteúdo do log,Tijd|Niveau|Gebruiker|Logboek,Tempo|Livello|Operatore|Contenuto del log,시간 | 레벨 | 작업자 | 로그 내용,時間 | 級別 | 操作者 | 日誌內容
"[""export_task_header""]",文件名称 | 文件/文件夹 | 时间 | 传输类型,File name | File/Folder | Time | Transmission type,Dateiname | Datei/Ordner | Zeit | übertragungstyp,ファイル名|ファイル／フォルダ|時間|転送タイプ,Nom du fichier | Fichier/Dossier | Temps | Type de transfert,Nombre de archivo | Archivo/Carpeta | Hora | Tipo de transferencia,Nome do ficheiro | Ficheiro/Pasta | Hora | Tipo de transferência,Bestands naam | Bestand/map | Tijd | Transmissie type,Nome del file|File/cartella|Tempo|Tipo di trasferimento,파일명 | 파일/폴더 | 시간 | 전송 유형,檔案名稱 | 檔案/資料夾 | 時間 | 傳輸類型
"[""Resource""]",资源,Resource,Resource,Resource,Resource,Resource,Resource,Resource,Resource,리소스,資源
"[""Backup""]",备份文件,Backup,Backup,Backup,Backup,Backup,Backup,Backup,Backup,백업 파일,備份文件
"[""aliyun does not support downloading""]",暂不支持获取/读取部分livp文件,Some livp files cannot be retrieved or read,Das Abrufen/Lesen bestimmter .livp-Dateien wird derzeit nicht unterstützt,一部のlivpファイルの取得／読み取りは現在サポートされていません。,La lecture decertainsfichiers LIVP n'est pas prise en charge.,No se pueden leer o recuperar algunos archivos livp.,Alguns ficheiros .livp não podem ser recuperados ou lidos,Sommige livp bestanden kunnen niet worden opgehaald of gelezen,Alcuni file livp non possono essere recuperati o letti,일부 livp 파일의 가져오기/읽기를 현재 지원하지 않습니다.,暫不支持獲取/讀取部分livp文件
"[""ExceedMaxConcurrency""]",此次下载被阿里禁止,Download blocked by Alibaba,Download durch Alibaba blockiert,このダウンロードはAlibabaによってブロックされました。,Ce téléchargement a été bloqué par Alibaba.,Descarga bloqueada por Alibaba.,Download bloqueado pela Alibaba,Download geblokkeerd door Alibaba,Il download è bloccato da Alibaba,이번 다운로드가 알리에서 차단되었습니다.,此次下載被阿里禁止
